canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
194,001969.npy,3.4716,21.8897,-18.4181,0.0134,0.288,-0.2746,0.374901,0.00078797,0.12775892,0.01235745,0.01485411,Severe Detail Loss,0.645726
195,001981.npy,3.4376,20.3532,-16.9156,0.0105,0.5699,-0.5594,0.235362,0.00105404,0.47291267,0.01135333,0.01477267,Severe Detail Loss,0.615663
196,001986.npy,3.8502,21.9263,-18.0761,0.0184,0.2779,-0.2595,0.474237,0.00079361,0.14782728,0.01126468,0.00824548,Severe Detail Loss,0.626447
197,001998.npy,10.1282,26.9144,-16.7862,0.0251,0.6723,-0.6472,0.134587,0.00093985,0.20510639,0.00296115,0.00944378,Severe Detail Loss,0.256803
198,002027.npy,4.9614,20.4907,-15.5293,0.0153,0.3196,-0.3042,0.227689,0.00090843,0.2148402,0.00902472,0.01393316,Severe Detail Loss,0.552197
199,002038.npy,4.3478,19.6674,-15.3196,0.0099,0.2328,-0.2229,0.137726,0.00101175,0.16355422,0.00999306,0.04572761,Severe Detail Loss,0.556944
200,002041.npy,2.3005,16.2389,-13.9384,0.0018,0.4845,-0.4826,0.036024,0.0012244,1.16706729,0.01460156,0.2060051,Severe Detail Loss,0.738473
201,002047.npy,5.3561,19.6314,-14.2753,0.0173,0.3251,-0.3077,0.078302,0.00098424,0.33372837,0.00810571,0.06110188,Severe Detail Loss,0.518756
202,002049.npy,15.0188,29.6005,-14.5817,0.0471,0.7467,-0.6996,0.228408,0.00106712,0.05145913,0.00175254,0.00282069,Severe Detail Loss,0.153929
203,002056.npy,10.9401,26.9115,-15.9714,0.1773,0.8075,-0.6302,0.099747,0.00104509,0.22459573,0.0027715,0.00800415,Severe Detail Loss,0.187417
204,002061.npy,5.6286,22.0774,-16.4488,0.0156,0.3661,-0.3506,0.3226,0.00083956,0.14613634,0.00792454,0.00887212,Severe Detail Loss,0.512993
205,002062.npy,5.7103,21.4899,-15.7796,0.0149,0.3542,-0.3393,0.280581,0.0008914,0.15908334,0.00774329,0.00995764,Severe Detail Loss,0.508026
206,002068.npy,7.009,22.4829,-15.4739,0.0436,0.5949,-0.5513,0.078567,0.00096134,0.3046051,0.00566785,0.03182192,Severe Detail Loss,0.394849
207,002088.npy,7.6234,22.9237,-15.3003,0.0121,0.6299,-0.6177,0.065534,0.00103696,0.32769412,0.00491247,0.03358897,Severe Detail Loss,0.360859
208,002101.npy,4.8455,21.3377,-16.4922,0.0255,0.4783,-0.4527,0.370278,0.00100431,0.21138205,0.00877425,0.00782847,Severe Detail Loss,0.502121
209,002135.npy,7.1895,21.3906,-14.2011,0.0051,0.6366,-0.6315,0.044179,0.00102151,0.45780811,0.00544266,0.05787449,Severe Detail Loss,0.405785
210,002139.npy,5.3881,22.4303,-17.0422,0.0619,0.6271,-0.5652,0.22586,0.00098825,0.29182383,0.00787894,0.011407,Severe Detail Loss,0.469202
211,002146.npy,6.0868,21.4829,-15.3962,0.0047,0.6019,-0.5972,0.080135,0.00091956,0.3691543,0.00708452,0.0361866,Severe Detail Loss,0.482794
212,002160.npy,6.7313,21.9577,-15.2264,0.0155,0.4008,-0.3853,0.108869,0.00096018,0.21913131,0.00624024,0.02530857,Severe Detail Loss,0.439348
213,002169.npy,3.288,21.5589,-18.2709,0.0176,0.5318,-0.5142,0.48796,0.00099458,0.21298182,0.01204065,0.00761809,Severe Detail Loss,0.588504
214,002182.npy,3.7794,21.6862,-17.9068,0.0117,0.4875,-0.4758,0.314723,0.00085554,0.30963385,0.01093215,0.01141892,Severe Detail Loss,0.615215
215,002191.npy,2.8948,20.6613,-17.7665,0.0137,0.378,-0.3643,0.150196,0.00090718,0.33122617,0.01335788,0.04206548,Severe Detail Loss,0.67561
